epoch,loss,Recall,Precision,F1
504,1.127,0.444,0.891,0.592
505,1.142,0.444,0.891,0.592
506,1.191,0.445,0.892,0.594
507,1.190,0.446,0.892,0.594
508,1.164,0.446,0.891,0.594
509,1.143,0.448,0.890,0.596
510,1.154,0.448,0.890,0.596
511,1.144,0.449,0.888,0.596
512,1.160,0.450,0.889,0.598
513,1.127,0.451,0.890,0.599
514,1.131,0.451,0.889,0.598
515,1.101,0.451,0.891,0.599
516,1.143,0.452,0.890,0.600
517,1.131,0.452,0.890,0.600
518,1.108,0.453,0.889,0.600
519,1.104,0.455,0.889,0.602
520,1.107,0.455,0.890,0.602
521,1.136,0.455,0.889,0.602
522,1.115,0.456,0.891,0.603
523,1.132,0.458,0.891,0.605
524,1.117,0.458,0.892,0.606
525,1.143,0.457,0.892,0.604
526,1.164,0.458,0.891,0.605
527,1.127,0.459,0.891,0.606
528,1.107,0.459,0.891,0.606
529,1.168,0.459,0.893,0.607
530,1.140,0.458,0.892,0.605
531,1.116,0.458,0.892,0.605
532,1.081,0.457,0.892,0.605
533,1.105,0.458,0.892,0.605
534,1.101,0.458,0.891,0.605
535,1.087,0.458,0.890,0.604
536,1.076,0.456,0.890,0.603
537,1.105,0.455,0.890,0.603
538,1.091,0.457,0.891,0.604
539,1.094,0.458,0.890,0.604
540,1.091,0.458,0.889,0.604
541,1.075,0.458,0.890,0.605
542,1.105,0.458,0.890,0.604
543,1.084,0.457,0.889,0.603
544,1.092,0.457,0.888,0.603
545,1.132,0.458,0.889,0.604
546,1.102,0.458,0.888,0.604
547,1.093,0.457,0.887,0.603
548,1.116,0.458,0.887,0.604
549,1.114,0.458,0.889,0.604
550,1.069,0.460,0.890,0.606
551,1.072,0.459,0.888,0.606
552,1.099,0.460,0.888,0.606
553,1.071,0.460,0.888,0.606
554,1.114,0.459,0.887,0.605
555,1.071,0.460,0.887,0.606
556,1.074,0.461,0.887,0.606
557,1.074,0.461,0.886,0.606
558,1.065,0.461,0.886,0.606
559,1.071,0.461,0.887,0.606
560,1.090,0.461,0.888,0.607
561,1.061,0.460,0.887,0.606
562,1.058,0.460,0.885,0.606
563,1.057,0.461,0.886,0.606
564,1.069,0.460,0.886,0.605
565,1.063,0.461,0.887,0.607
566,1.024,0.463,0.887,0.609
567,1.047,0.464,0.888,0.610
568,1.064,0.463,0.888,0.609
569,1.067,0.464,0.888,0.609
570,1.069,0.464,0.888,0.609
571,1.056,0.466,0.888,0.611
572,1.036,0.467,0.887,0.612
573,1.043,0.466,0.887,0.611
574,1.048,0.464,0.886,0.609
575,1.078,0.463,0.886,0.608
576,1.036,0.463,0.886,0.609
577,1.071,0.463,0.887,0.609
578,1.057,0.464,0.888,0.609
579,1.048,0.464,0.888,0.609
580,1.057,0.463,0.887,0.608
581,1.050,0.463,0.887,0.608
582,1.026,0.463,0.888,0.608
583,1.017,0.463,0.887,0.608
584,1.049,0.464,0.886,0.609
585,1.036,0.464,0.886,0.609
586,1.057,0.463,0.886,0.609
587,1.017,0.463,0.886,0.608
588,1.082,0.463,0.886,0.609
589,1.045,0.466,0.888,0.611
590,1.049,0.468,0.889,0.613
591,1.042,0.471,0.891,0.616
592,1.033,0.471,0.890,0.616
593,1.080,0.472,0.889,0.617
594,1.072,0.474,0.890,0.619
595,1.023,0.474,0.891,0.619
596,1.016,0.472,0.890,0.617
597,1.033,0.473,0.890,0.618
598,1.006,0.472,0.889,0.617
599,1.050,0.472,0.889,0.617
600,1.031,0.473,0.888,0.618
601,1.047,0.474,0.888,0.618
602,1.021,0.474,0.888,0.618
603,1.029,0.475,0.888,0.619
604,1.014,0.475,0.888,0.619
605,1.107,0.477,0.889,0.620
606,1.062,0.475,0.888,0.619
607,1.069,0.473,0.887,0.617
608,0.995,0.473,0.887,0.617
609,1.018,0.473,0.888,0.618
610,1.049,0.475,0.889,0.619
611,1.024,0.476,0.889,0.620
612,1.084,0.475,0.891,0.620
613,1.029,0.474,0.888,0.618
614,1.034,0.476,0.888,0.619
615,1.015,0.476,0.888,0.619
616,1.010,0.475,0.887,0.619
617,1.036,0.476,0.888,0.619
618,1.021,0.476,0.891,0.621
619,1.022,0.477,0.891,0.621
620,1.010,0.477,0.891,0.622
621,1.009,0.476,0.889,0.620
622,1.001,0.475,0.889,0.619
623,0.993,0.475,0.889,0.619
624,1.020,0.474,0.888,0.618
625,1.017,0.474,0.888,0.618
626,1.019,0.475,0.887,0.619
627,1.022,0.476,0.886,0.619
628,1.008,0.478,0.887,0.621
629,1.011,0.478,0.886,0.621
630,0.999,0.478,0.885,0.621
631,1.004,0.479,0.886,0.622
632,1.003,0.479,0.885,0.621
633,0.978,0.479,0.885,0.621
634,0.989,0.479,0.885,0.621
635,1.003,0.479,0.885,0.622
636,0.977,0.481,0.886,0.623
637,0.977,0.481,0.886,0.624
638,0.990,0.481,0.886,0.623
639,0.977,0.481,0.886,0.624
640,1.020,0.481,0.887,0.624
641,0.984,0.481,0.887,0.623
642,0.988,0.481,0.886,0.624
643,0.999,0.482,0.887,0.625
644,0.981,0.482,0.888,0.625
645,1.001,0.483,0.888,0.626
646,1.001,0.483,0.888,0.626
647,1.008,0.483,0.887,0.626
648,0.991,0.484,0.886,0.626
649,1.013,0.485,0.886,0.627
650,0.978,0.484,0.884,0.625
651,0.977,0.484,0.885,0.626
652,1.004,0.484,0.884,0.626
653,1.007,0.484,0.884,0.626
654,0.997,0.484,0.882,0.625
655,0.980,0.485,0.883,0.626
656,0.978,0.485,0.883,0.626
657,1.010,0.485,0.884,0.626
658,1.034,0.486,0.884,0.627
659,1.003,0.486,0.884,0.627
660,0.981,0.485,0.885,0.626
661,0.991,0.484,0.884,0.626
662,0.999,0.484,0.884,0.625
663,0.977,0.483,0.885,0.625
664,0.969,0.482,0.886,0.625
665,0.960,0.483,0.886,0.625
666,0.963,0.483,0.886,0.626
667,1.001,0.483,0.886,0.625
668,1.020,0.483,0.886,0.625
669,0.976,0.483,0.886,0.625
670,0.959,0.484,0.887,0.626
671,0.986,0.484,0.887,0.626
672,0.977,0.485,0.887,0.627
673,0.953,0.484,0.887,0.626
674,0.983,0.484,0.884,0.626
675,0.954,0.485,0.885,0.627
676,0.944,0.486,0.886,0.627
677,1.019,0.486,0.885,0.628
678,0.991,0.487,0.884,0.628
679,0.970,0.488,0.883,0.629
680,0.956,0.487,0.882,0.627
681,0.941,0.487,0.882,0.628
682,0.972,0.487,0.882,0.627
683,0.960,0.487,0.882,0.628
684,0.998,0.485,0.882,0.626
685,0.996,0.485,0.882,0.626
686,0.985,0.485,0.882,0.626
687,0.960,0.486,0.883,0.626
688,0.967,0.485,0.882,0.626
689,0.982,0.484,0.884,0.626
690,0.938,0.484,0.884,0.626
691,0.955,0.484,0.885,0.626
692,0.992,0.486,0.887,0.628
693,0.983,0.487,0.888,0.629
694,0.958,0.488,0.888,0.630
695,0.972,0.487,0.887,0.629
696,0.958,0.486,0.887,0.628
697,0.936,0.488,0.889,0.630
698,0.926,0.488,0.890,0.630
699,0.957,0.488,0.890,0.631
700,0.934,0.490,0.887,0.631
701,0.949,0.491,0.887,0.632
702,0.942,0.491,0.887,0.632
703,0.954,0.492,0.886,0.633
704,0.948,0.492,0.886,0.633
705,0.923,0.492,0.886,0.633
706,0.954,0.493,0.885,0.633
707,0.963,0.492,0.884,0.632
708,0.943,0.492,0.882,0.632
709,0.935,0.492,0.883,0.632
710,0.955,0.491,0.883,0.631
711,0.921,0.491,0.883,0.631
712,0.959,0.491,0.885,0.632
713,0.939,0.490,0.884,0.631
714,0.953,0.491,0.884,0.631
715,0.931,0.492,0.885,0.633
716,0.925,0.492,0.884,0.632
717,0.934,0.491,0.883,0.631
718,0.947,0.491,0.885,0.632
719,0.943,0.491,0.884,0.631
720,0.949,0.491,0.885,0.632
721,0.935,0.491,0.885,0.632
722,0.923,0.491,0.884,0.631
723,0.926,0.491,0.884,0.631
724,0.922,0.491,0.883,0.631
725,0.942,0.491,0.883,0.631
726,0.902,0.492,0.883,0.632
727,0.928,0.491,0.884,0.632
728,0.921,0.493,0.884,0.633
729,0.922,0.493,0.885,0.633
730,0.918,0.494,0.884,0.634
731,0.901,0.495,0.885,0.635
732,0.922,0.495,0.882,0.634
733,0.912,0.495,0.884,0.635
734,0.930,0.494,0.882,0.633
735,0.937,0.495,0.884,0.635
736,0.915,0.495,0.883,0.635
737,0.912,0.495,0.883,0.635
738,0.938,0.495,0.885,0.635
739,0.910,0.495,0.884,0.635
740,0.895,0.495,0.885,0.635
741,0.893,0.496,0.882,0.635
742,0.938,0.495,0.883,0.635
743,0.909,0.496,0.883,0.635
744,0.924,0.495,0.884,0.635
745,0.906,0.495,0.884,0.634
746,0.904,0.495,0.882,0.634
747,0.910,0.495,0.883,0.635
748,0.922,0.495,0.883,0.635
